copy,copy,copy,copy,copy,copy,copy,copy
0.2,_______________
0.2,META_DATA_START
161046.1,RESULT_CYCLE-6000-CURRENT-0.6-AMPS,PASS
161046.1,RESULT_CYCLE-6000-CURRENT-1-AMPS,PASS
161046.1,RESULT_CYCLE-6500-CURRENT-0.4-AMPS,FAIL
161046.1,RESULT_CYCLE-6500-CURRENT-0.45-AMPS,FAIL
161046.1,RESULT_CYCLE-6500-CURRENT-0.5-AMPS,PASS
161046.1,RESULT_CYCLE-6500-CURRENT-0.55-AMPS,PASS
161046.1,RESULT_CYCLE-6500-CURRENT-0.6-AMPS,PASS
161046.1,RESULT_CYCLE-6500-CURRENT-1-AMPS,PASS
161046.1,RESULT_CYCLE-7000-CURRENT-0.4-AMPS,FAIL
161046.1,RESULT_CYCLE-7000-CURRENT-0.45-AMPS,FAIL
161046.1,RESULT_CYCLE-7000-CURRENT-0.5-AMPS,PASS
161046.1,RESULT_CYCLE-7000-CURRENT-0.55-AMPS,PASS
161046.1,RESULT_CYCLE-7000-CURRENT-0.6-AMPS,PASS
161046.1,RESULT_CYCLE-7000-CURRENT-1-AMPS,PASS
161046.1,RESULT_CYCLE-7500-CURRENT-0.4-AMPS,FAIL
161046.1,RESULT_CYCLE-7500-CURRENT-0.45-AMPS,FAIL
161046.1,RESULT_CYCLE-7500-CURRENT-0.5-AMPS,PASS
161046.1,RESULT_CYCLE-7500-CURRENT-0.55-AMPS,PASS
161046.1,RESULT_CYCLE-7500-CURRENT-0.6-AMPS,PASS
161046.1,RESULT_CYCLE-7500-CURRENT-1-AMPS,PASS
161046.1,RESULT_CYCLE-8000-CURRENT-0.4-AMPS,FAIL
161046.1,RESULT_CYCLE-8000-CURRENT-0.45-AMPS,FAIL
161046.1,RESULT_CYCLE-8000-CURRENT-0.5-AMPS,PASS
161046.1,RESULT_CYCLE-8000-CURRENT-0.55-AMPS,PASS
161046.1,RESULT_CYCLE-8000-CURRENT-0.6-AMPS,PASS
161046.1,RESULT_CYCLE-8000-CURRENT-1-AMPS,PASS
161046.1,RESULT_CYCLE-8500-CURRENT-0.4-AMPS,FAIL
161046.1,RESULT_CYCLE-8500-CURRENT-0.45-AMPS,FAIL
161046.1,RESULT_CYCLE-8500-CURRENT-0.5-AMPS,PASS
161046.1,RESULT_CYCLE-8500-CURRENT-0.55-AMPS,PASS
161046.2,RESULT_CYCLE-8500-CURRENT-0.6-AMPS,PASS
161046.2,RESULT_CYCLE-8500-CURRENT-1-AMPS,PASS
161046.2,RESULT_CYCLE-9000-CURRENT-0.4-AMPS,FAIL
161046.2,RESULT_CYCLE-9000-CURRENT-0.45-AMPS,FAIL
161046.2,RESULT_CYCLE-9000-CURRENT-0.5-AMPS,PASS
161046.2,RESULT_CYCLE-9000-CURRENT-0.55-AMPS,PASS
161046.2,RESULT_CYCLE-9000-CURRENT-0.6-AMPS,PASS
161046.2,RESULT_CYCLE-9000-CURRENT-1-AMPS,PASS
161046.2,RESULT_CYCLE-9500-CURRENT-0.4-AMPS,FAIL
161046.2,RESULT_CYCLE-9500-CURRENT-0.45-AMPS,FAIL
161046.2,RESULT_CYCLE-9500-CURRENT-0.5-AMPS,PASS
161046.2,RESULT_CYCLE-9500-CURRENT-0.55-AMPS,PASS
161046.2,RESULT_CYCLE-9500-CURRENT-0.6-AMPS,PASS
161046.2,RESULT_CYCLE-9500-CURRENT-1-AMPS,PASS
161046.2,RESULT_CYCLE-10000-CURRENT-0.4-AMPS,FAIL
161046.2,RESULT_CYCLE-10000-CURRENT-0.45-AMPS,FAIL
161046.2,RESULT_CYCLE-10000-CURRENT-0.5-AMPS,PASS
