0,-------,---,---,---,---,---,---,---,---
4125.23,liquid-probe-50-tip-secondary-probe-trial-1,0.13,,,,,,,
4125.23,liquid-probe-50-tip-secondary-probe-trial-2,0.06,,,,,,,
4125.24,liquid-probe-50-tip-secondary-probe-precision,0.0425,PASS,,,,,,
4125.24,liquid-probe-50-tip-secondary-probe-accuracy,0.081666667,PASS,,,,,,
4125.24,liquid-probe-50-tip-secondary-probe,PASS,,,,,,,
4125.24,liquid-probe,PASS,,,,,,,
4231.84,droplets-30,PASS,,,,,,,
4318.44,droplets-60,PASS,,,,,,,
4336.56,pressure-pre-channel-1,min,-3.69,,,,,,
4336.57,pressure-pre-channel-1,max,-3.39,,,,,,
4336.57,pressure-pre-channel-1,average,-3.515,,,,,,
4336.57,pressure-pre-channel-2,min,-2.19,,,,,,
4336.57,pressure-pre-channel-2,max,-1.94,,,,,,
4336.57,pressure-pre-channel-2,average,-2.105,,,,,,
4336.58,pressure-pre-channel-3,min,-1.29,,,,,,
4336.58,pressure-pre-channel-3,max,-1.04,,,,,,
4336.58,pressure-pre-channel-3,average,-1.156,,,,,,
4336.58,pressure-pre-channel-4,min,-3.26,,,,,,
4336.58,pressure-pre-channel-4,max,-2.94,,,,,,
4336.59,pressure-pre-channel-4,average,-3.124,,,,,,
4336.59,pressure-pre-channel-5,min,-1.22,,,,,,
4336.59,pressure-pre-channel-5,max,-1.09,,,,,,
4336.59,pressure-pre-channel-5,average,-1.164,,,,,,
4336.59,pressure-pre-channel-6,min,-4.58,,,,,,
4336.59,pressure-pre-channel-6,max,-4.22,,,,,,
4336.6,pressure-pre-channel-6,average,-4.404,,,,,,
4336.6,pressure-pre-channel-7,min,-2.31,,,,,,
4336.6,pressure-pre-channel-7,max,-1.98,,,,,,
4336.6,pressure-pre-channel-7,average,-2.228,,,,,,
4336.6,pressure-pre-channel-8,min,-1.77,,,,,,
4336.61,pressure-pre-channel-8,max,-1.42,,,,,,
4336.61,pressure-pre-channel-8,average,-1.715,,,,,,
4336.61,pressure-pre,stability,PASS,,,,,,
4336.61,pressure-pre,accuracy,PASS,,,,,,
4368.2,pressure-insert-channel-1,min,2492.64,,,,,,
4368.2,pressure-insert-channel-1,max,2496.11,,,,,,
4368.21,pressure-insert-channel-1,average,2493.956,,,,,,
4368.21,pressure-insert-channel-2,min,2067.2,,,,,,
4368.21,pressure-insert-channel-2,max,2070.8,,,,,,
4368.21,pressure-insert-channel-2,average,2068.78,,,,,,
4368.21,pressure-insert-channel-3,min,2369.96,,,,,,
4368.22,pressure-insert-channel-3,max,2372.9,,,,,,
4368.22,pressure-insert-channel-3,average,2371.305,,,,,,
4368.22,pressure-insert-channel-4,min,2318.45,,,,,,
4368.22,pressure-insert-channel-4,max,2321.7,,,,,,
4368.22,pressure-insert-channel-4,average,2319.775,,,,,,
4368.23,pressure-insert-channel-5,min,2345.74,,,,,,
4368.23,pressure-insert-channel-5,max,2349.51,,,,,,
4368.23,pressure-insert-channel-5,average,2347.473,,,,,,
4368.23,pressure-insert-channel-6,min,2047.15,,,,,,
4368.23,pressure-insert-channel-6,max,2064.67,,,,,,
4368.23,pressure-insert-channel-6,average,2055.249,,,,,,
4368.24,pressure-insert-channel-7,min,1857.62,,,,,,
4368.24,pressure-insert-channel-7,max,1.86E+03,,,,,,
4368.24,pressure-insert-channel-7,average,1.86E+03,,,,,,
4368.24,pressure-insert-channel-8,min,2439.02,,,,,,
4368.24,pressure-insert-channel-8,max,2450.01,,,,,,
4368.25,pressure-insert-channel-8,average,2.44E+03,,,,,,
4368.25,pressure-insert,stability,PASS,,,,,,
4368.25,pressure-insert,accuracy,PASS,,,,,,
4436.64,pressure-holding-channel-1,min,2156.23,,,,,,
