0.6500	6.5760	0.0875
1.2200	3.9260	1.8101
1.8700	2.4167	3.6513
2.0500	1.0519	6.2036
2.2600	0.9432	6.4264
2.4500	0.3298	7.8126
2.5500	-1.7153	12.8233
2.7100	0.0122	8.4181
3.0100	0.2740	7.7084
3.2600	1.0179	5.4694
4.0800	2.0467	2.1157
4.6900	0.4369	8.6837
6.2300	0.4862	8.4522
8.7000	0.5871	7.8235
11.1000	0.1508	11.6194
14.0400	0.0899	12.2958
17.6900	0.0585	12.7365
22.2600	0.0437	12.9975
27.9800	0.0328	13.2421
35.0000	0.0168	13.6873
43.7900	0.0138	13.7925
54.4800	0.0040	14.2233
